区域,小区名称,房屋户型,面积,朝向,楼层,电梯,租金
昌平,冠雅苑,2室1厅1卫,69㎡,南,高楼层/6层,无,3000
大兴,新凤小区,2室1厅1卫,95㎡,南北,高楼层/6层,无,2500
大兴,隆盛园,3室1厅1卫,83㎡,南北,中楼层/6层,无,3000
大兴,金色漫香郡北区,1室1厅1卫,58㎡,南,低楼层/9层,有,2800
大兴,观音寺小区,2室1厅1卫,71㎡,南北,高楼层/6层,无,2700
通州,合生世界花园,2房间1卫,58㎡,北,中楼层/14层,有,2600
大兴,大城小镇,1室1厅1卫,56㎡,南北,高楼层/6层,无,3000
顺义,石园东苑,1室1厅1卫,72㎡,南北,低楼层/6层,无,3000
朝阳,双桥五号井,2室1厅1卫,60㎡,南北,低楼层/3层,无,3300
房山,中海金樾和著,3室1厅1卫,88㎡,南,中楼层/15层,无,1800
门头沟,城子车站街,2室1厅1卫,58㎡,东西,高楼层/4层,无,2200
大兴,首地浣溪谷,2室1厅1卫,83㎡,南北,中楼层/8层,有,2500
通州,合生世界花园,2房间1卫,58㎡,北,中楼层/14层,有,2600
海淀,常秀家园,2室1厅1卫,63㎡,南北,地下室/6层,无,3400
朝阳,康静里,2室1厅1卫,58㎡,南北,低楼层/6层,无,4200
海淀,上庄家园东区,2室1厅1卫,68㎡,南北,高楼层/6层,无,4300
丰台,五爱屯西街,2室1厅1卫,65㎡,南北,高楼层/6层,无,3700
朝阳,朝阳新城二区,1室1厅1卫,63㎡,西,中楼层/6层,无,4000
顺义,仓上小区,2室1厅1卫,76㎡,南北,高楼层/6层,无,2600
昌平,北亚花园,1室1厅1卫,63㎡,西,高楼层/6层,无,3000
朝阳,东泽园,2室1厅1卫,76㎡,南北,低楼层/21层,有,5000
朝阳,南平里,2室1厅1卫,56㎡,南北,高楼层/6层,无,3600
大兴,御园D区,1室1厅1卫,55㎡,南,低楼层/15层,有,2500
昌平,典雅庄园,1室1厅1卫,65㎡,南,低楼层/10层,有,2600
大兴,众美MIMO公馆,2房间1卫,54㎡,南,中楼层/5层,有,2500
门头沟,惠泽家园,2室1厅1卫,89㎡,南北,高楼层/6层,无,2450
房山,温庄子家园,1室1厅1卫,83㎡,南北,高楼层/6层,无,2500
门头沟,双峪路小区,2室1厅1卫,56㎡,南北,中楼层/5层,无,2500
门头沟,三家店新建路,2室1厅1卫,60㎡,南北,高楼层/6层,无,2200
朝阳,红松园小区,3室1厅1卫,72㎡,南北,高楼层/6层,无,4700
朝阳,东泽园,2室1厅1卫,70㎡,南北,低楼层/21层,有,4800
通州,东亚印象台湖,2室1厅1卫,54㎡,南,高楼层/12层,有,2700
朝阳,海棠公社,1室1厅1卫,54㎡,西,高楼层/20层,有,3800
朝阳,金隅景和园,1室1厅1卫,61㎡,南,中楼层/21层,有,5000
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2200
朝阳,金隅景和园,1室1厅1卫,60㎡,南,低楼层/21层,有,4600
门头沟,城子西街1号院,2室1厅1卫,74㎡,南北,高楼层/5层,无,2200
门头沟,滨河路87号院,2室1厅1卫,78㎡,南北,地下室/6层,无,2400
朝阳,朝阳新城三区,1室1厅1卫,63㎡,西,中楼层/6层,无,4300
顺义,港馨家园西区,2室1厅1卫,94㎡,南北,高楼层/5层,无,2500
海淀,建西苑中里,1室1厅1卫,59㎡,东西,中楼层/7层,无,4000
海淀,建西苑中里,2室1厅1卫,67㎡,南北,中楼层/7层,无,4500
丰台,晓月新苑,1室1厅1卫,63㎡,南,中楼层/21层,有,3800
朝阳,朝阳新城三区,2室1厅1卫,74㎡,东,高楼层/6层,无,4300
昌平,首钢一线材厂东宿舍,2室1厅1卫,61㎡,南北,高楼层/6层,无,2700
朝阳,机场南路东里,2室1厅1卫,58㎡,南北,中楼层/5层,无,3300
房山,长龙苑小区,2室1厅1卫,89㎡,南北,高楼层/6层,无,2600
海淀,环山村,2室1厅1卫,62㎡,南北,高楼层/6层,无,3800
朝阳,康静里,2室1厅1卫,61㎡,东西,中楼层/6层,无,3700
朝阳,首都机场南路西里,2室1厅1卫,54㎡,南,中楼层/5层,无,3400
亦庄开发区,中信新城两限区,2室1厅1卫,71㎡,南,高楼层/21层,有,4000
丰台,建设三里,2室1厅1卫,56㎡,南,高楼层/6层,无,2600
石景山,天翠阳光新城,1室1厅1卫,58㎡,南,中楼层/16层,有,3000
朝阳,南平里,2室1厅1卫,58㎡,南,低楼层/6层,无,3350
亦庄开发区,米拉小镇,1室1厅1卫,67㎡,东南,高楼层/21层,有,3500
昌平,南农家园,2室1厅1卫,78㎡,南北,低楼层/6层,无,2300
顺义,樱花园二区,2室1厅2卫,69㎡,南北,低楼层/6层,无,3000
房山,北潞冠家园,1室1厅1卫,76㎡,南北,高楼层/6层,无,2600
石景山,天翠阳光新城,1室1厅1卫,60㎡,南,低楼层/16层,有,3000
朝阳,北平里,2室1厅1卫,64㎡,南北,高楼层/6层,无,3300
密云,密东广场,3室2厅2卫,151㎡,东西,高楼层/22层,有,3600
通州,中建雅颂居,1室1厅1卫,64㎡,西,高楼层/22层,有,2900
通州,四海公寓,3室1厅1卫,105㎡,南北,高楼层/6层,无,2800
顺义,石园北区,2室1厅1卫,71㎡,南北,高楼层/6层,无,2600
房山,西潞北大街二中家属楼,2室1厅1卫,70㎡,东西,中楼层/6层,无,2500
大兴,林海园,2室1厅1卫,79㎡,南北,地下室/6层,无,2300
亦庄开发区,新海北里,2室1厅1卫,91㎡,南北,高楼层/6层,无,3300
大兴,龙熙旭辉6號院,1室1厅1卫,60㎡,南,中楼层/6层,无,2800
大兴,蓝桥驿苑,1室1厅1卫,56㎡,南,中楼层/15层,有,2300
丰台,晓月苑一里,2室1厅1卫,69㎡,南北,高楼层/6层,无,3100
通州,徐辛庄,2室1厅1卫,84㎡,南北,中楼层/6层,无,2200
通州,徐辛庄,2室1厅1卫,84㎡,南北,中楼层/6层,无,2200
顺义,石园西区,2室1厅1卫,58㎡,南北,高楼层/6层,无,2700
大兴,隆盛园,2室1厅1卫,86㎡,南北,中楼层/5层,无,2300
大兴,新城嘉园,2室1厅1卫,80㎡,南北,高楼层/3层,无,2300
大兴,隆盛园,3室2厅2卫,135㎡,南北,高楼层/6层,无,3000
昌平,温泉花园A区,2室1厅1卫,62㎡,南北,中楼层/5层,无,3000
房山,加州水郡四期,1室1厅1卫,58㎡,南,低楼层/14层,有,2600
顺义,石园西区,1室1厅1卫,57㎡,南北,低楼层/6层,无,2700
门头沟,新桥路小区,2室1厅1卫,63㎡,南北,高楼层/6层,无,2100
门头沟,新桥路小区,2室1厅1卫,60㎡,南北,高楼层/6层,无,2100
门头沟,新桥大街61号院,2室1厅1卫,78㎡,南北,高楼层/6层,无,2500
门头沟,新桥路小区,2室1厅1卫,66㎡,南北,高楼层/6层,无,2500
石景山,天翠阳光新城,1室1厅1卫,58㎡,南北,中楼层/16层,有,2900
昌平,第二福利院家属楼,1室1厅1卫,63㎡,南,中楼层/10层,有,2800
通州,周仓庵胡同,1室1厅1卫,57㎡,南北,高楼层/6层,无,2900
顺义,空港国际,5房间2卫,86㎡,东北,低楼层/10层,有,2600
朝阳,南平东里,2室1厅1卫,82㎡,南北,高楼层/6层,无,4500
朝阳,双桥六号井,2室1厅1卫,58㎡,南北,低楼层/6层,无,3500
门头沟,石泉砖厂B2区,2室1厅1卫,64㎡,南北,中楼层/6层,无,2500
朝阳,双桥六号井,2室1厅1卫,61㎡,南北,高楼层/4层,无,3300
朝阳,燕翔西里,2室1厅1卫,56㎡,南北,高楼层/3层,无,3200
通州,华龙小区,1室1厅1卫,55㎡,南北,高楼层/6层,无,2800
门头沟,葡东小区,2室1厅2卫,64㎡,南北,高楼层/6层,无,2500
通州,源泉苑,1室1厅0卫,58㎡,南北,高楼层/6层,无,2800
朝阳,金隅悦和园,2室1厅1卫,80㎡,南北,中楼层/28层,有,4800
通州,上潞园,2室1厅1卫,71㎡,东北,中楼层/6层,无,2800
亦庄开发区,中信新城两限区,1室1厅1卫,61㎡,南,低楼层/21层,有,4000
丰台,长辛店东南街,2室1厅1卫,71㎡,南北,中楼层/6层,无,3000
亦庄开发区,泰河园一里一区,2室1厅1卫,80㎡,南北,低楼层/12层,有,3800
通州,滨河中路,2室1厅1卫,59㎡,南北,高楼层/5层,无,2500
朝阳,燕翔东里,2室1厅1卫,63㎡,南北,高楼层/5层,无,3600
通州,自然佳境,1室1厅1卫,68㎡,南北,低楼层/6层,无,2900
丰台,晓月苑二里,2室1厅1卫,71㎡,南,高楼层/6层,无,3500
大兴,南海家园七里,1室1厅1卫,70㎡,南,中楼层/20层,有,3000
亦庄开发区,宏仁家园,2室1厅1卫,90㎡,东西,低楼层/28层,有,3400
亦庄开发区,泰河园一里一区,1室1厅1卫,62㎡,南,中楼层/12层,有,3500
大兴,隆盛园,2室1厅1卫,84㎡,南北,高楼层/6层,无,2000
亦庄开发区,新海北里,1室1厅1卫,66㎡,南北,中楼层/6层,无,3200
昌平,北街家园六区,3室1厅1卫,88㎡,东西,中楼层/18层,有,3000
房山,四合巷小区,2室1厅1卫,65㎡,南北,高楼层/6层,无,2300
顺义,港馨家园东区,2室1厅1卫,97㎡,南北,低楼层/6层,无,2600
亦庄开发区,新海南里,1室1厅1卫,67㎡,南北,高楼层/6层,无,3400
朝阳,绿丰家园,1室1厅1卫,58㎡,南北,中楼层/6层,无,3300
通州,泰晤士印象,2室1厅1卫,85㎡,南,高楼层/15层,有,2500
门头沟,惠泽家园,3室1厅1卫,87㎡,东南北,高楼层/6层,无,2500
昌平,第二福利院家属楼,2室1厅1卫,79㎡,南北,低楼层/10层,有,3000
海淀,阳光北里,1室1厅1卫,62㎡,东南,低楼层/18层,有,4500
亦庄开发区,宏仁家园,2室1厅1卫,86㎡,东西,中楼层/28层,有,3300
亦庄开发区,米拉小镇,2室1厅1卫,89㎡,南,低楼层/21层,有,3800
顺义,仁和花园一区,1室1厅1卫,66㎡,南北,中楼层/15层,有,3000
昌平,郝庄家园东区,2室1厅1卫,76㎡,南北,高楼层/6层,无,2600
昌平,郝庄家园,2室1厅1卫,78㎡,南北,高楼层/6层,无,2500
昌平,郝庄家园,2室1厅1卫,70㎡,南北,中楼层/6层,无,2800
顺义,吉祥雅筑,1室1厅1卫,80㎡,东,低楼层/15层,有,3100
昌平,南辛路7号院,2室1厅1卫,66㎡,南北,低楼层/6层,无,2300
大兴,南海家园二里,1室1厅1卫,66㎡,南北,低楼层/15层,有,3000
朝阳,新街坊,1室0厅1卫,43㎡,西北,低楼层/18层,有,5000
门头沟,葡东小区,2室1厅2卫,69㎡,南北,高楼层/6层,无,2500
石景山,北重西厂,1室1厅1卫,41㎡,南,高楼层/6层,无,3600
丰台,南开西里,2室1厅1卫,62㎡,南北,高楼层/6层,无,3500
顺义,仓上小区,2室1厅1卫,64㎡,南北,低楼层/6层,无,3000
朝阳,十里堡北区,1室1厅1卫,48㎡,南,中楼层/6层,无,4800
房山,伟业嘉园西里,2室1厅1卫,42㎡,北,中楼层/5层,无,2400
石景山,古城环卫楼,2室1厅1卫,58㎡,东,高楼层/6层,无,3500
石景山,模式口西里,2室1厅1卫,62㎡,南,中楼层/14层,有,3600
朝阳,阳光家园社区,2室1厅1卫,51㎡,南,中楼层/5层,无,3500
朝阳,金蝉北里,2室1厅1卫,57㎡,南北,高楼层/6层,无,5000
朝阳,农业部宿舍,1室1厅1卫,42㎡,南,地下室/6层,无,4000
海淀,永定路98号院,1室1厅1卫,36㎡,东,高楼层/5层,无,4000
